Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,School_id,Distance_to_school,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Recreation_centre_id,Distance_to_Recreation_centre
22163.0,-37.75134659,144.9524689,19 Clarendon Street,COBURG,9000000.0,house,2008.0,3.0,1.0,2.0,1422.0,3.125,19966,0.894,28.2,0.0,hospital_084,0.605,MOONEE9400,3.426
77250.0,-37.934367,145.101163,49 Dalbeattie Drive,CLARINDA,8194000.0,house,2012.0,3.0,2.0,2.0,1821.0,0.497,22249,2.014,35.666666666666664,0.0,hospital_076,2.207,KINGST10931,0.624
24622.0,-37.690866,144.962794,9 Janice Court,FAWKNER,4200000.0,house,2010.0,3.0,2.0,2.0,1612.0,0.264,19961,1.146,38.0,0.0,hospital_139,4.299,MORELA13039,1.386
48708.0,-37.8013382,145.0335236,71 Peel Street,KEW,8371000.0,house,2009.0,2.0,1.0,2.0,1422.0,12.1,19904,2.255,15.75,0.0,hospital_064,1.536,MARIBY8477,11.81
71591.0,-37.8469612,145.2230335,48/745-751 Boronia Road,WANTIRNA,4050000.0,house,2011.0,3.0,1.0,1.0,8428.0,0.431,19871,2.808,41.09090909090909,0.0,hospital_008,0.433,KNOXCI8574,0.964
11978.0,-37.720023,144.767588,1 Danthonia Street,DELAHEY,4235000.0,house,2011.0,4.0,2.0,1.0,1674.0,8.793,22244,2.182,30.333333333333332,0.0,hospital_057,6.111,MOONEE9389,10.358
43882.0,-37.690248,145.080741,60 Binnak Drive,WATSONIA NORTH,7680000.0,house,2011.0,4.0,2.0,2.0,5184.0,2.044,19984,2.321,38.57142857142857,0.0,hospital_041,1.574,BANYUL2628,1.04
92679.0,-38.017063,145.100249,13 Gale Street,ASPENDALE,13770000.0,house,2016.0,4.0,3.0,2.0,5101.0,6.884,19862,1.143,49.61538461538461,0.0,hospital_001,3.801,BAYSID12340,8.24
15586.0,-37.740421,144.881594,2 Chusan Close,NIDDRIE,15860000.0,house,2011.0,4.0,3.0,2.0,1471.0,0.148,22253,3.506,19.0,0.0,hospital_184,2.077,MOONEE9393,0.921
5811.0,-37.793745,144.848651,51/A Pritchard Avenue,BRAYBROOK,7700000.0,house,2010.0,4.0,2.0,2.0,5450.0,0.433,20022,1.399,23.555555555555557,0.0,hospital_174,2.282,MARIBY5530,1.233
49075.0,-37.806531,145.071529,16 Monash Avenue,BALWYN,19000000.0,house,2014.0,5.0,3.0,2.0,1022.0,10.74,19893,2.173,23.818181818181817,0.0,hospital_064,2.057,WHITEH11028,10.605
65132.0,-37.808641,145.308413,14 Lena Grove,KILSYTH,5590000.0,house,2016.0,3.0,1.0,1.0,1342.0,6.898,19877,2.683,49.833333333333336,0.0,hospital_164,4.647,MAROON11044,7.39
7949.0,-37.782041,144.801152,89 Suspension Street,ARDEER,6696000.0,house,2016.0,3.0,1.0,0.0,1801.0,4.304,20020,0.146,23.2,0.0,hospital_057,2.671,MARIBY5531,5.277
60467.0,-37.834429,145.215391,14 Liddle Way,VERMONT,6930000.0,house,2010.0,4.0,2.0,2.0,5045.0,1.376,19901,1.743,36.44444444444444,0.0,hospital_008,1.951,MAROON11030,0.563
57388.0,-37.83074188,145.0858612,62 Highfield Road,CANTERBURY,9823000.0,house,2008.0,4.0,1.0,2.0,1596.0,8.516,19894,0.758,25.818181818181817,0.0,hospital_089,3.058,WHITEH10994,8.289
10803.0,-37.781775,144.924369,69-71 Canterbury Street,FLEMINGTON,5120000.0,house,2011.0,2.0,1.0,1.0,253.0,3.159,20040,0.739,19.833333333333332,0.0,hospital_007,0.802,MOONEE9397,2.133
92726.0,-38.022339,145.107693,14 Tarongo Drive,ASPENDALE,9100000.0,house,2015.0,3.0,1.0,2.0,5101.0,7.687,19862,0.729,49.61538461538461,0.0,hospital_001,4.67,BAYSID12340,9.058
4705.0,-37.833925,144.86843,85 Graham Street,NEWPORT,10656000.0,house,2010.0,3.0,1.0,1.0,4665.0,1.003,19995,1.582,16.0,0.0,hospital_141,3.765,HOBSON12947,0.597
82481.0,-37.994378,145.251187,97 Doveton Avenue,EUMEMMERRING,11788000.0,house,2013.0,3.0,2.0,2.0,8462.0,10.743,19885,3.07,57.833333333333336,0.0,hospital_119,3.009,MONASH11994,12.422
4634.0,-37.844111,144.873208,70 Challis Street,NEWPORT,8268000.0,house,2010.0,3.0,2.0,2.0,77.0,0.752,19994,0.927,16.5,0.0,hospital_141,2.597,HOBSON12971,0.492
56991.0,-37.833466,145.079252,10 Cooba Street,CANTERBURY,14467000.0,house,2010.0,2.0,1.0,1.0,1596.0,8.786,19851,0.826,24.857142857142858,0.0,hospital_168,2.55,WHITEH10994,8.733
