sales_id,date,time,shopping_cart,price,parcel_size,Customer_lat,Customer_long,isLoyaltyProgram,nearest_storehouse_id,nearest_storehouse,dist_to_nearest_storehouse,delivery_cost
ORD0094508,05/08/2018,10:57:44,"[('mattress', 2), ('Dining_table', 3), ('side_table', 4), ('Chair', 1), ('wardrobe', 3)]",2405.66,medium,-38.20312,146.04112,0,4,Sunshine,107.96,6.4845000000000015
ORD0092039,10/05/2021,04:43:14,"[('bed', 2), ('mattress', 4), ('wardrobe', 2), ('sofa', 2), ('side_table', 2), ('Dining_table', 3), ('Study_table', 1)]",4391.67,large,-37.94113,144.86085,0,2,Footscray,18.75,18.2295
ORD0019216,16/04/2021,12:40:40,"[('Chair', 2), ('bed', 4), ('mattress', 4), ('wardrobe', 1), ('Study_table', 1), ('Dining_table', 2), ('sofa', 2), ('side_table', 4)]",5042.33,large,-38.46703,145.12492,0,4,Sunshine,75.01,6.772500000000001
ORD0033742,01/06/2018,08:23:35,"[('Study_table', 2), ('side_table', 1), ('wardrobe', 1)]",475.85,small,-38.05737,145.2257,0,4,Sunshine,38.6,7.0515
ORD0026963,16/01/2020,03:55:45,"[('sofa', 4), ('Chair', 2), ('wardrobe', 4), ('Study_table', 2)]",2808.02,small,-38.32542,144.98037,1,2,Footscray,57.33,16.384500000000006
ORD0046975,04/04/2021,15:02:37,"[('mattress', 3), ('Dining_table', 1), ('sofa', 1), ('bed', 2), ('side_table', 4), ('Study_table', 2)]",2970.0,medium,-38.25523,145.34428,1,4,Sunshine,61.99,29.727500000000006
ORD0046158,16/11/2020,14:44:52,"[('Dining_table', 3), ('bed', 3), ('wardrobe', 4), ('side_table', 3), ('Study_table', 2)]",2895.95,medium,-37.69362,145.14985,1,4,Sunshine,24.76,6.2865
ORD0031263,14/07/2020,17:24:26,"[('side_table', 2), ('Dining_table', 3), ('mattress', 2)]",1370.8,small,-38.01317,144.56524,0,2,Footscray,43.97,17.590500000000002
ORD0036821,03/05/2020,21:41:50,"[('bed', 2), ('Dining_table', 2), ('Study_table', 4), ('Chair', 4), ('side_table', 2), ('sofa', 3), ('mattress', 3)]",4159.42,large,-37.81217,145.61701000000002,0,4,Sunshine,61.89,7.0605
ORD0039667,07/09/2019,20:32:49,"[('Chair', 2), ('Dining_table', 4), ('bed', 1), ('wardrobe', 2), ('Study_table', 4), ('sofa', 1), ('mattress', 2), ('side_table', 3)]",3281.92,large,-38.03904,145.36444,0,4,Sunshine,46.91,6.2505000000000015
ORD0058207,12/05/2018,21:45:45,"[('wardrobe', 3), ('Dining_table', 1), ('mattress', 3), ('sofa', 2), ('Study_table', 2), ('bed', 2), ('side_table', 3)]",4105.3,large,-37.52928,146.08493,1,4,Sunshine,107.92,7.339499999999999
